A,B
restaurante acogedor comida calidad servicio,comida
descuento atrapalo relacion calidadprecio    pareceria caro,precio
trato com restaurante acogedor comida calidad servicio,comida
trato comida categoria duda repetir,servicio
comida correcta desangelado local mesas,comida
menu degustacion correcto alardes,comida
destacar servicio agradables pendientes detalles,servicio
comida deliciosa tomamos carpaccio buey entrante albondigas dorada confit pato principales cocinados confit riquiiiisimo,comida
postre coulant chocolate helado mango tb rico,comida
carta vinos referencias interesante,comida
comida preservacion servicio atencion,servicio
comida    ciento descuento servicio,servicio
velada agradable ambiente restaurante trato personal atendio,ambiente
comida rica,comida
comida excelente descubri opcion platos vegetarianos genial,comida
sitio chulo,ambiente
relacion calidad precio reservamos menu degustacion verano    gusto muchisimo destacar musaca espectacular,comida
comida servicio fantastico,servicio
agradable servicio estupendo comida riquisima precio aceptable descuento atrapalo,servicio
relacion calidadprecio estupenda platos exquisitos,comida
servicio presentacion cocina calidad,servicio
platos exquisitos atencion inmejorable,servicio
plato recomendado,comida
pareja cenar encanto comida,comida
sitio grande acogedor,ambiente
platos variados,comida
tranquilo simpatico perfeccionado almuerzo,ambiente
camareros atentos,servicio
platos deliciosos mezcla sabores apasionante ambiente unico,comida
especial cena especial,ambiente
decoracion cuidada salon tranquilo ruido movimiento ayuda cena especial,ambiente
atendio llegar markmuy profesional pendiente sintieramos casa,servicio
cena sabrosa trabajada,comida
optamos menu   arrepentimos,comida
comida excelente presentada,comida
bonito ambientado salas acogedoras separacion mesas,ambiente
menu simple precio,comida
comida estupenda precio servicio excepcional,servicio
encanto sitio probamos delicioso,comida
servicio excelente atendieron camareros super atentos,servicio
comida escasa insulsa,comida
precio comida pensaba iba impresionar,comida
genial menu degustacion pareja,comida
ambiente bonito discreto,ambiente
comida riquisima,comida
yogurt ralladura zanahoria denominaban   arroz zanahoria langostinos,comida
postre vasito stracciatella brownie,comida
comida insulsa escasa,comida
reunion amigas juventud pleno mes agosto menu fresco rico fenomenalmente servido,comida
encanto especial intimo tranquilo,ambiente
musica clasica velitas,ambiente
cenamos fenomenal precio economico local precioso comida exquisita personal amable,ambiente
ambiente platos sabrosos presentacion,comida
buscas romantico exquisito ambiente trato comer dudes,ambiente
velada romantica restaurante precioso acogedor ideal parejas amigos buscando calma ambiente tranquilo delicado,ambiente
cocina sobresaliente,comida
incluia platos elegir exquisito,comida
carrillera delicia merluza postre locura,comida
alta cocina alcance,comida
raciones perfectas,comida
muy pena tirar comida pequenas,comida
cocina calidad,comida
adorable cenar musica clasica velas,ambiente
velada excepcional atencion comida ambiente perfecto,servicio
elegimos menu degustacion comida buenisima cantidades generosas,comida
servicio estupendo atentos rapidos,servicio
describir trato comida dificil opinar,comida
calidad servicio precio,servicio
esposa servicio carne,servicio
menu agnus calidadprecio carne riquisima,comida
comimos genial,comida
celiaca atencion espectacular,servicio
buenisima comida excelente ambiente trato publico,ambiente
bonito sitio diario miercoles restaurante camareros atentos,servicio
degustamos menu rico,comida
trato ambiente comida desear,ambiente
salimos mujer satisfechos comida genial atencion,servicio
sitio degustar carne argentina,comida
excelente atencion comida  musica excelente ambiente encanto,ambiente
servicio calidad,servicio
comida trato agradable,comida
menu    entrantes decepcionantes cantidad variedad,comida
menu degustacion tremendamente pesado,comida
abundante falto servir platos calientes,comida
sitio acogedor servicio,servicio
presentada falta especias sabores,comida
decoracion abandonada tirando cubre,ambiente
camareros perfectos,servicio
desilusiono viernes noche espectaculo elegi restaurante,ambiente
comida escasa menu salimos hambre,comida
queria probar comida gusto sitio,ambiente
comida rica ambiente agradable tranquilo,comida
excelente calidadprecio comida deliciosa servicio rapido atento,comida
servicio comida fria apetecible,servicio
encanta comida detalles servirla,comida
sabor autentico ponen sobra,comida
menu rico completo atencion estupenda,servicio
comida ambiente servicio amable,ambiente
rica cena menu combo degustar serie platos totalmente espectaculo noches viernes sabado,comida
ambiente trato cercano comida deliciosa,ambiente
rico servicio,servicio
comida,comida
comer autentica comida arabe servicio falla local,servicio
precio asequible comida rica sabores,comida
local anticuado tamano mesas justas,ambiente
moruno dulces riquisimos,comida
cantidad comida comer,comida
comida buenisima precio,comida
menu degustacion exito,comida
pruebas platos,comida
comimos personas,comida
personal amable sitio tranquilo,servicio
comida excelente platos elaborados caseros,comida
platos gustaron falafel pastela cuscus pollo olvidar pastelitos hojaldre,comida
sitio bonito decoracion curiosa trato estupendo,servicio
abrian verano ambiente tranquilo atencion correcta trato cercano comida buenisima,servicio
recomendable ambiente tranquilo,ambiente
comida agradable casa,comida
estupenda relacion calidadprecio,precio
platos caseros elaborados recien hechos cantidad justa,comida
maravillosa trato calidad comida,servicio
cenar marido teatro cena corrientenada malo digno resaltar,comida
atendio duena local estupendamente decorado cuadros quijote forjas libros lados ambientacion cuidada,ambiente
empezamos entrantes exquisitos cocinados sabrosos seguimos segundos,comida
hamburguesa hamburguesa buey pasando solomillo albondigas pescados salmon,comida
cocinado,comida
probamos postres caseros dulces estupendos chocolate blanco leche,comida
tarta queso tartas queso probado ligera sabor excepcional,comida
ambiente agradable cena anfitriona,ambiente
atencion servicio calidad comida precio espectaculares,servicio
cenar pareja comida trato excelentes servicio atendio,servicio
personal majisimo,servicio
magnifica grupos     comensales servicio cocina platos preparados carta amplia calidad,comida
relacion precio calidad vino casa estupendo,precio
ambiente tranquilo,ambiente
servicio amable,servicio
comida,comida
cenar menu cerrado variedad platos buenisimos,comida
atencion espectacular,servicio
chulo tranquilo,ambiente
terraza exterior agradable tomar,ambiente
unica pega vimos servicio lento sabado ibamos prisa,servicio
excelente menu cena riquisima cockteles espresso martinis,comida
pedimos menu degustacion fenomenal,comida
sitio estupendo encuentras gusto,ambiente
atentos agradables gustaba decoracion,servicio
buenisimo eleccion platos incluia menu sabroso calidad,comida
