A	B
restaurante acogedor comida calidad servicio	positivo
descuento atrapalo relacion calidadprecio    pareceria caro	neutral
trato comida categoria duda repetir	positivo
comida correcta desangelado local mesas	positivo
menu degustacion correcto alardes	positivo
destacar servicio agradables pendientes detalles	positivo
comida deliciosa tomamos carpaccio buey entrante albondigas dorada confit pato principales cocinados confit riquiiiisimo	positivo
postre coulant chocolate helado mango tb rico	positivo
carta vinos referencias interesante	positivo
recomendable	positivo
comida preservacion servicio atencion	positivo
comida ciento descuento servicio	positivo
velada agradable ambiente restaurante trato personal atendio	positivo
comida rica	positivo
comida excelente descubri opcion platos vegetarianos genial	positivo
sitio chulo	positivo
relacion calidad precio reservamos menu degustacion verano    gusto muchisimo destacar musaca espectacular	positivo
comida servicio fantastico	positiva
agradable servicio estupendo comida riquisima precio aceptable descuento atrapalo	positivo
relacion calidadprecio estupenda platos exquisitos	positivo
platos exquisitos atencion inmejorable	positivo
ubicado zona muchisimo encanto madrid plaza rey	positivo
plato recomendado	positivo
pareja cenar encanto comida	positivo
sitio grande acogedor	positivo
platos variados	positivo
tranquilo simpatico perfeccionado almuerzo	positivo
camareros atentos	positivo
platos deliciosos mezcla sabores apasionante ambiente unico	positivo
recomendable	positivo
especial cena especial	positivo
decoracion cuidada salon tranquilo ruido movimiento ayuda cena especial	positivo
atendio llegar markmuy profesional pendiente sintieramos casa	positivo
cena sabrosa trabajada	positivo
optamos menu   arrepentimos	positivo
bonito barato	positivo
disfrutado restaurante ocasiones	neutral
comida excelente presentada	positivo
calidad cantidad	neutral
bonito ambientado salas acogedoras separacion mesas	positivo
menu simple precio	neutral
comida estupenda precio servicio excepcional	positivo
encanto sitio probamos delicioso	positivo
servicio excelente atendieron camareros super atentos	positivo
comida escasa insulsa	negativo
precio comida pensaba iba impresionar	neutral
genial menu degustacion pareja	positivo
ambiente bonito discreto	positivo
comida riquisima	positivo
yogurt ralladura zanahoria denominaban   arroz zanahoria langostinos	neutral
postre vasito stracciatella brownie	neutral
comida insulsa escasa	negativo
reunion amigas juventud pleno mes agosto menu fresco rico fenomenalmente servido	positivo
recomendable cenas pareja	positivo
encanto especial intimo tranquilo	neutral
musica clasica velitas	neutral
reforma nota	neutral
cenamos fenomenal precio economico local precioso comida exquisita personal amable	positivo
ambiente platos sabrosos presentacion	positivo
recomendaria dudas	positivo
buscas romantico exquisito ambiente trato comer dudes	positvo
velada romantica restaurante precioso acogedor ideal parejas amigos buscando calma ambiente tranquilo delicado	positivo
cocina sobresaliente	positivo
incluia platos elegir exquisito	positivo
carrillera delicia merluza postre locura	positivo
increible	positivo
alta cocina alcance	neutral
profesionales sector esfuerzan fallar	neutral
raciones perfectas	positivo
muy pena tirar comida pequenas	neutral
cocina calidad	positivo
adorable cenar musica clasica velas	positivo
velada excepcional atencion comida ambiente perfecto	positivo
elegimos menu degustacion comida buenisima cantidades generosas	positivo
servicio estupendo atentos rapidos	positivo
describir trato comida dificil opinar	neutral
excelente	positivo
calidad servicio precio	positivo
esposa servicio carne	positivo
menu agnus calidadprecio carne riquisima	positivo
comimos genial	positivo
celiaca atencion espectacular	positivo
buenisima comida excelente ambiente trato publico	positivo
bonito sitio diario miercoles restaurante camareros atentos	positivo
degustamos menu rico	positivo
trato ambiente comida desear	positivo
salimos mujer satisfechos comida genial atencion	positivo
sitio degustar carne argentina	neutral
excelente atencion comida  musica excelente ambiente encanto	positivo
quedamos satisfechos ganas repetir	neutral
recomendado	positivo
servicio calidad	positivo
comida trato agradable	positivo
menu    entrantes decepcionantes cantidad variedad	negativo
menu degustacion tremendamente pesado	negativo
abundante falto servir platos calientes	neutral
sitio acogedor servicio	positivo
presentada falta especias sabores	negativo
decoracion abandonada tirando cubre	negativo
camareros perfectos	positivo
desilusiono viernes noche espectaculo elegi restaurante	negativo
comida escasa menu salimos hambre	negativo
queria probar comida gusto sitio	positivo
comida rica ambiente agradable tranquilo	positivo
excelente calidadprecio comida deliciosa servicio rapido atento	positivo
servicio comida fria apetecible	negativo
encanta comida detalles servirla	positivo
precio razonable cantidad rapido sirven calidad	neutral
sabor autentico ponen sobra	positivo
pareja pasamos	positivo
menu rico completo atencion estupenda	positivo
comida ambiente servicio amable	positivo
rica cena menu combo degustar serie platos totalmente espectaculo noches viernes sabado	positivo
ambiente trato cercano comida deliciosa	positivo
rico servicio	positivo
comer autentica comida arabe servicio falla local	positivo
precio asequible comida rica sabores	positivo
local anticuado tamano mesas justas	negativo
moruno dulces riquisimos	positivo
cantidad comida comer	positivo
comida buenisima precio	positivo
menu degustacion exito	positivo
pruebas platos	neutral
comimos personas	neutral
personal amable sitio tranquilo	positivo
comida excelente platos elaborados caseros	positivo
platos gustaron falafel pastela cuscus pollo olvidar pastelitos hojaldre	positivo
sitio bonito decoracion curiosa trato estupendo	positivo
abrian verano ambiente tranquilo atencion correcta trato cercano comida buenisima	positivo
