A,B
"restaurante acogedor, con comida de calidad y buen servicio.",positivo
"Con el descuento de Atrápalo relación calidad/precio de 10, si no me parecería caro.",neutral
"Tanto el trato com Restaurante acogedor, con comida de calidad y buen servicio.",positivo
"Tanto el trato como la comida, fueron de primera categoría, un lugar sin duda para repetir.",positivo
Comida correcta pero un poco desangelado el local ya que había muy pocas mesas.,positivo
"Menú degustación correcto, sin alardes.",positivo
"A destacar el servicio, muy agradables y pendientes de los detalles.",positivo
"La comida deliciosa, tomamos carpaccio de buey como entrante y albondigas de dorada confit de pato como principales, muy bien cocinados y el confit riquiiiisimo!",positivo
de postre coulant de chocolate con helado de mango tb muy rico.,positivo
Carta de vinos con varias referencias interesante.,positivo
Muy recomendable!,positivo
"Comida buena, preservación, buena y servicio y atención muy buenos",positivo
"Buena comida con el 40 por ciento de descuento, mejor servicio.",positivo
fue una velada agradable tanto por el ambiente del restaurante como por el trato del personal que nos atendió.,positivo
la comida muy rica.,positivo
la comida excelente además descubrí que había opción de varios platos vegetarianos así que genial,positivo
El sitio está muy chulo.,positivo
"Buena relación calidad precio, nosotros reservamos el menú degustación de verano 27? y nos gustó muchísimo, a destacar la musaca, estaba espectacular.",positivo
Buena comida y servicio fantástico,positivo
"Lugar agradable con un servicio estupendo y comida riquísima, a un precio aceptable con el descuento de Atrapalo",positivo
Relación calidad/precio estupenda y con algunos platos exquisitos.,positivo
"Buen servicio, presentación, cocina y calidad",positivo
Todos los platos estaban exquisitos y la atención fue inmejorable.,positivo
"Además, está ubicado en una zona con muchísimo encanto en Madrid, al lado de la plaza del Rey.",positivo
Plato recomendado,positivo
Fuimos en pareja a cenar y nos encantó la comida.,positivo
El sitio es bastante grande pero acogedor.,positivo
Los platos muy variados y todo muy bueno,positivo
Este lugar tranquilo y simpático es perfeccionado para el almuerzo,positivo
Los camareros muy atentos.,positivo
"Platos deliciosos, con una mezcla de sabores apasionante y un ambiente único.",positivo
Muy recomendable,positivo
Un lugar especial que hizo de la cena un momento especial .,positivo
"La decoración muy cuidada, el salón muy tranquilo ...sin mucho ruido y movimiento, lo que ayuda a tener una cena mas especial.",positivo
